iter	Passed	Remaining
0	31	31538
1	90	44917
2	181	60248
3	254	63446
4	430	85660
5	455	75514
6	482	68450
7	508	63068
8	548	60409
9	597	59155
10	648	58292
11	700	57706
12	742	56339
13	756	53308
14	781	51290
15	815	50147
16	972	56204
17	1005	54878
18	1033	53352
19	1056	51765
20	1200	55961
21	1255	55792
22	1285	54611
23	1308	53220
24	1326	51721
25	1363	51096
26	1425	51381
27	1445	50175
28	1481	49617
29	1514	48982
30	1528	47776
31	1568	47437
32	1582	46370
33	1600	45464
34	1637	45137
35	1672	44787
36	1712	44564
37	1760	44564
38	1785	43998
39	1806	43366
40	1846	43179
41	1865	42560
42	1913	42578
43	1928	41911
44	1959	41584
45	1986	41196
46	1998	40524
47	2028	40240
48	2047	39733
49	2062	39187
50	2096	39017
51	2127	38777
52	2161	38619
53	2169	38002
54	2189	37621
55	2226	37537
56	2238	37032
57	2253	36598
58	2287	36482
59	2297	35986
60	2322	35753
61	2338	35372
62	2355	35027
63	2367	34621
64	2379	34226
65	2392	33858
66	2410	33572
67	2440	33447
68	2457	33163
69	2490	33082
70	2503	32759
71	2524	32536
72	2539	32246
73	2553	31958
74	2585	31893
75	2606	31694
76	2620	31406
77	2635	31156
78	2647	30859
79	2662	30619
80	2682	30436
81	2716	30406
82	2724	30106
83	2738	29862
84	2760	29718
85	2772	29463
86	2781	29189
87	2811	29138
88	2839	29062
89	2863	28951
90	2873	28700
91	2904	28661
92	2924	28518
93	2941	28355
94	2951	28117
95	2966	27930
96	2975	27703
97	2987	27496
98	3010	27395
99	3021	27190
100	3032	26988
101	3042	26782
102	3057	26630
103	3071	26463
104	3083	26280
105	3091	26075
106	3107	25936
107	3117	25746
108	3142	25689
109	3167	25625
110	3177	25445
111	3185	25256
112	3198	25106
113	3220	25031
114	3256	25058
115	3267	24898
116	3289	24823
117	3300	24671
118	3330	24654
119	3361	24654
120	3374	24512
121	3385	24364
122	3421	24394
123	3462	24457
124	3481	24372
125	3527	24471
126	3541	24343
127	3605	24560
128	3653	24668
129	3701	24769
130	3716	24653
131	3733	24550
132	3772	24589
133	3816	24668
134	3834	24567
135	3858	24510
136	3887	24486
137	3937	24598
138	3989	24714
139	4035	24786
140	4077	24838
141	4124	24921
142	4168	24979
143	4209	25024
144	4263	25137
145	4322	25284
146	4365	25330
147	4409	25382
148	4453	25437
149	4485	25420
150	4522	25427
151	4550	25389
152	4581	25364
153	4614	25348
154	4642	25307
155	4669	25264
156	4701	25246
157	4727	25194
158	4765	25205
159	4792	25162
160	4819	25113
161	4843	25055
162	4872	25017
163	4903	24995
164	4935	24976
165	4962	24933
166	4997	24925
167	5023	24879
168	5050	24836
169	5079	24797
170	5114	24794
171	5142	24754
172	5170	24715
173	5200	24687
174	5231	24662
175	5257	24614
176	5283	24565
177	5311	24528
178	5339	24489
179	5369	24460
180	5404	24453
181	5438	24442
182	5471	24427
183	5501	24397
184	5535	24386
185	5563	24348
186	5593	24318
187	5622	24283
188	5646	24230
189	5676	24200
190	5710	24185
191	5738	24147
192	5768	24118
193	5805	24119
194	5837	24099
195	5878	24114
196	5914	24110
197	5961	24146
198	5996	24136
199	6028	24112
200	6059	24086
201	6090	24059
202	6118	24021
203	6149	23993
204	6179	23964
205	6213	23950
206	6244	23923
207	6276	23900
208	6311	23885
209	6339	23847
210	6365	23803
211	6395	23771
212	6429	23754
213	6462	23734
214	6491	23703
215	6521	23670
216	6549	23633
217	6575	23587
218	6610	23574
219	6636	23531
220	6663	23486
221	6694	23462
222	6730	23451
223	6759	23417
224	6792	23397
225	6825	23375
226	6852	23336
227	6888	23323
228	6924	23311
229	6953	23277
230	6981	23242
231	7011	23211
232	7047	23200
233	7079	23176
234	7108	23140
235	7141	23117
236	7171	23088
237	7203	23063
238	7228	23016
239	7256	22980
240	7284	22942
241	7315	22913
242	7344	22880
243	7373	22847
244	7416	22856
245	7452	22841
246	7492	22840
247	7527	22823
248	7554	22783
249	7582	22747
250	7618	22733
251	7648	22702
252	7675	22661
253	7713	22654
254	7739	22610
255	7774	22594
256	7808	22574
257	7836	22537
258	7873	22527
259	7912	22519
260	7943	22492
261	7978	22474
262	8017	22466
263	8053	22451
264	8088	22433
265	8123	22415
266	8154	22387
267	8191	22374
268	8228	22361
269	8257	22324
270	8287	22293
271	8317	22262
272	8345	22225
273	8374	22188
274	8408	22168
275	8440	22139
276	8467	22100
277	8496	22066
278	8530	22045
279	8568	22032
280	8607	22024
281	8636	21989
282	8674	21978
283	8708	21954
284	8738	21923
285	8768	21891
286	8802	21867
287	8837	21849
288	8877	21840
289	8917	21833
290	8945	21794
291	8981	21775
292	9013	21748
293	9041	21712
294	9066	21666
295	9092	21624
296	9119	21585
297	9146	21545
298	9173	21507
299	9200	21468
300	9232	21439
301	9257	21397
302	9285	21360
303	9310	21316
304	9346	21297
305	9372	21257
306	9402	21225
307	9436	21202
308	9474	21187
309	9507	21160
310	9537	21129
311	9568	21099
312	9600	21071
313	9628	21034
314	9657	21000
315	9684	20963
316	9712	20926
317	9747	20904
318	9772	20862
319	9803	20832
320	9833	20800
321	9861	20764
322	9888	20726
323	9921	20699
324	9951	20669
325	9978	20629
326	10003	20588
327	10030	20550
328	10059	20516
329	10092	20491
330	10127	20469
331	10157	20437
332	10186	20403
333	10213	20365
334	10242	20331
335	10268	20292
336	10293	20250
337	10320	20214
338	10352	20186
339	10382	20155
340	10407	20112
341	10438	20083
342	10469	20053
343	10502	20027
344	10529	19991
345	10560	19960
346	10595	19938
347	10637	19930
348	10719	19995
349	10785	20030
350	10850	20062
351	10908	20082
352	10936	20045
353	10963	20006
354	10994	19975
355	11023	19941
356	11049	19901
357	11084	19877
358	11112	19841
359	11137	19800
360	11165	19763
361	11197	19735
362	11224	19697
363	11253	19662
364	11281	19625
365	11309	19590
366	11333	19547
367	11362	19513
368	11394	19484
369	11425	19453
370	11450	19413
371	11476	19374
372	11506	19342
373	11533	19304
374	11558	19264
375	11593	19240
376	11619	19200
377	11642	19157
378	11665	19114
379	11697	19085
380	11732	19061
381	11767	19037
382	11797	19005
383	11836	18987
384	11864	18952
385	11897	18924
386	11930	18897
387	11958	18862
388	11993	18838
389	12032	18819
390	12062	18788
391	12104	18774
392	12139	18749
393	12183	18738
394	12232	18735
395	12267	18711
396	12302	18686
397	12336	18660
398	12361	18619
399	12391	18587
400	12422	18556
401	12451	18522
